[ 2024-11-20 02:51:26,366 ] 16 root INFO Data ingestion started 
[ 2024-11-20 02:51:30,243 ] 56 root INFO Starting train test split 
[ 2024-11-20 02:51:30,247 ] 58 root INFO Train test split done 
[ 2024-11-20 02:51:30,249 ] 59 root INFO Exporting train and test set into train file path and test file path  
[ 2024-11-20 02:51:30,322 ] 62 root INFO Exported train set and test set to their repective paths 
[ 2024-11-20 02:51:30,324 ] 22 root INFO Data ingestion completed 
[ 2024-11-20 02:51:30,324 ] 25 root INFO Data validatoin started 
[ 2024-11-20 02:51:30,415 ] 30 root INFO Required number of columns: 31  
[ 2024-11-20 02:51:30,430 ] 31 root INFO Data frame has 31 number of columns 
[ 2024-11-20 02:51:30,431 ] 30 root INFO Required number of columns: 31  
[ 2024-11-20 02:51:30,431 ] 31 root INFO Data frame has 31 number of columns 
