[ 2024-11-20 17:10:20,963 ] 15 root INFO Data ingestion started 
[ 2024-11-20 17:10:27,507 ] 56 root INFO Starting train test split 
[ 2024-11-20 17:10:27,512 ] 58 root INFO Train test split done 
[ 2024-11-20 17:10:27,512 ] 59 root INFO Exporting train and test set into train file path and test file path  
[ 2024-11-20 17:10:27,588 ] 62 root INFO Exported train set and test set to their repective paths 
[ 2024-11-20 17:10:27,590 ] 21 root INFO Data ingestion completed 
[ 2024-11-20 17:10:27,590 ] 24 root INFO Data validatoin started 
[ 2024-11-20 17:10:27,664 ] 30 root INFO Required number of columns: 31  
[ 2024-11-20 17:10:27,669 ] 31 root INFO Data frame has 31 number of columns 
[ 2024-11-20 17:10:27,669 ] 30 root INFO Required number of columns: 31  
[ 2024-11-20 17:10:27,669 ] 31 root INFO Data frame has 31 number of columns 
[ 2024-11-20 17:10:27,882 ] 30 root INFO Data validatoin completed 
[ 2024-11-20 17:10:27,883 ] 33 root INFO Data validatoin started 
[ 2024-11-20 17:10:27,951 ] 38 root INFO Initialise KNNimputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'} 
[ 2024-11-20 17:10:27,975 ] 39 root INFO Data validatoin completed 
