[ 2024-11-20 17:09:21,455 ] 15 root INFO Data ingestion started 
[ 2024-11-20 17:09:26,499 ] 56 root INFO Starting train test split 
[ 2024-11-20 17:09:26,504 ] 58 root INFO Train test split done 
[ 2024-11-20 17:09:26,504 ] 59 root INFO Exporting train and test set into train file path and test file path  
[ 2024-11-20 17:09:26,579 ] 62 root INFO Exported train set and test set to their repective paths 
[ 2024-11-20 17:09:26,581 ] 21 root INFO Data ingestion completed 
[ 2024-11-20 17:09:26,581 ] 24 root INFO Data validatoin started 
[ 2024-11-20 17:09:26,663 ] 30 root INFO Required number of columns: 31  
[ 2024-11-20 17:09:26,670 ] 31 root INFO Data frame has 31 number of columns 
[ 2024-11-20 17:09:26,670 ] 30 root INFO Required number of columns: 31  
[ 2024-11-20 17:09:26,670 ] 31 root INFO Data frame has 31 number of columns 
[ 2024-11-20 17:09:26,874 ] 30 root INFO Data validatoin completed 
[ 2024-11-20 17:09:26,874 ] 33 root INFO Data validatoin started 
[ 2024-11-20 17:09:26,957 ] 38 root INFO Initialise KNNimputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'} 
