[ 2024-11-20 02:52:52,938 ] 16 root INFO Data ingestion started 
[ 2024-11-20 02:52:56,673 ] 56 root INFO Starting train test split 
[ 2024-11-20 02:52:56,679 ] 58 root INFO Train test split done 
[ 2024-11-20 02:52:56,679 ] 59 root INFO Exporting train and test set into train file path and test file path  
[ 2024-11-20 02:52:56,754 ] 62 root INFO Exported train set and test set to their repective paths 
[ 2024-11-20 02:52:56,757 ] 22 root INFO Data ingestion completed 
[ 2024-11-20 02:52:56,758 ] 25 root INFO Data validatoin started 
[ 2024-11-20 02:52:56,841 ] 30 root INFO Required number of columns: 31  
[ 2024-11-20 02:52:56,856 ] 31 root INFO Data frame has 31 number of columns 
[ 2024-11-20 02:52:56,857 ] 30 root INFO Required number of columns: 31  
[ 2024-11-20 02:52:56,857 ] 31 root INFO Data frame has 31 number of columns 
[ 2024-11-20 02:52:57,063 ] 31 root INFO Data validatoin completed 
