[ 2024-11-20 19:14:55,716 ] 15 root INFO Data ingestion started 
[ 2024-11-20 19:15:01,707 ] 56 root INFO Starting train test split 
[ 2024-11-20 19:15:01,719 ] 58 root INFO Train test split done 
[ 2024-11-20 19:15:01,720 ] 59 root INFO Exporting train and test set into train file path and test file path  
[ 2024-11-20 19:15:01,788 ] 62 root INFO Exported train set and test set to their repective paths 
[ 2024-11-20 19:15:01,788 ] 21 root INFO Data ingestion completed 
[ 2024-11-20 19:15:01,788 ] 24 root INFO Data validation started 
[ 2024-11-20 19:15:01,891 ] 30 root INFO Required number of columns: 31  
[ 2024-11-20 19:15:01,908 ] 31 root INFO Data frame has 31 number of columns 
[ 2024-11-20 19:15:01,908 ] 30 root INFO Required number of columns: 31  
[ 2024-11-20 19:15:01,908 ] 31 root INFO Data frame has 31 number of columns 
[ 2024-11-20 19:15:02,116 ] 30 root INFO Data validation completed 
[ 2024-11-20 19:15:02,116 ] 33 root INFO Data transformation started 
[ 2024-11-20 19:15:02,204 ] 38 root INFO Initialise KNNimputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'} 
[ 2024-11-20 19:15:02,247 ] 39 root INFO Data transformation completed 
[ 2024-11-20 19:15:02,247 ] 42 root INFO Model Trainer started 
[ 2024-11-20 19:17:33,636 ] 46 root INFO Model Trainer completed 
